Country or Area,Year,City,City type,Value
Andorra,2005,ANDORRA LA VELLA,Urban agglomeration,23587.0
Andorra,2003,ANDORRA LA VELLA,Urban agglomeration,21245.0
Anguilla,2011,THE VALLEY,City proper,2812.0
Anguilla,2001,THE VALLEY,City proper,4904.0
Antigua and Barbuda,1991,ST. JOHN,City proper,22342.0
Argentina,2021,Bahía Blanca-Cerri,Urban agglomeration,316250.345861578
Argentina,2021,BUENOS AIRES,Urban agglomeration,1.55678202773953E7
Argentina,2021,Catamarca,Urban agglomeration,225418.996430614
Argentina,2021,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,241036.303054142
Argentina,2021,Concordia,Urban agglomeration,162020.392731533
Argentina,2021,Córdoba,Urban agglomeration,1573230.92348795
Argentina,2021,Corrientes,Urban agglomeration,382940.246345335
Argentina,2021,Formosa,Urban agglomeration,255425.479134742
Argentina,2021,La Plata,Urban agglomeration,905035.196042125
Argentina,2021,La Rioja,Urban agglomeration,225807.802622842
Argentina,2021,San Luis - El Chorrillo,Urban agglomeration,239488.997912753
Argentina,2021,Mar del Plata-Batán,Urban agglomeration,649425.71030776
Argentina,2021,Mendoza,Urban agglomeration,1033390.5888175
Argentina,2021,Neuquén-Plottier,Urban agglomeration,311552.970483424
Argentina,2021,Paraná,Urban agglomeration,282057.564175707
Argentina,2021,Posadas,Urban agglomeration,376371.274319773
Argentina,2021,Rawson-Trelew-Playa Unión,Urban agglomeration,147188.272138539
Argentina,2021,Resistencia,Urban agglomeration,416912.506594226
Argentina,2021,Río Cuarto,Urban agglomeration,178918.865942931
Argentina,2021,Rio Gallegos,Urban agglomeration,124623.709787686
Argentina,2021,Rosario,Urban agglomeration,1329857.41208306
Argentina,2021,Salta,Urban agglomeration,643924.262422547
Argentina,2021,San Juan,Urban agglomeration,540713.371984223
Argentina,2021,San Nicolás-Villa Constitución,Urban agglomeration,195604.804289023
Argentina,2021,San Salvador de Jujuy-Palpalá,Urban agglomeration,350194.366398886
Argentina,2021,Santa Fé,Urban agglomeration,538419.353566661
Argentina,2021,Santa Rosa-Toay,Urban agglomeration,128903.857948578
Argentina,2021,Santiago del Estero-La Banda,Urban agglomeration,405993.596447
Argentina,2021,Tucumán-Tafí Viejo,Urban agglomeration,906536.60881084
